date,time,open_price,high_price,low_price,close_price
2023-03-20,04:12:00,28355.18,28361.06,28231.52,28260.63
2023-03-20,04:13:00,28256.56,28290.65,28139.01,28164.7
2023-03-20,04:14:00,28164.7,28169.63,28082.28,28152.58
2023-03-20,04:15:00,28149.85,28171.77,28118.4,28159.7
2023-03-20,04:16:00,28159.7,28182.08,27925.34,28021.09
2023-03-20,04:17:00,28025.98,28079.45,27986.0,28064.89
2023-03-20,04:18:00,28064.89,28126.11,28060.78,28098.4
2023-03-20,04:19:00,28098.39,28109.79,28045.0,28069.13
2023-03-20,04:20:00,28073.02,28096.47,28051.27,28051.94
2023-03-20,04:21:00,28051.94,28060.58,27990.02,27996.41
2023-03-20,04:22:00,27996.41,28043.69,27968.41,28036.39
2023-03-20,04:23:00,28036.39,28044.95,27979.34,28012.24
2023-03-20,04:24:00,28012.24,28026.95,27980.0,28008.9
2023-03-20,04:25:00,28008.9,28035.67,27980.32,28012.42
2023-03-20,04:26:00,28009.8,28018.96,27923.0,27978.95
2023-03-20,04:27:00,27978.95,28000.0,27971.0,27990.93
2023-03-20,04:28:00,27990.93,27998.98,27942.02,27979.44
2023-03-20,04:29:00,27977.31,27998.59,27953.28,27972.59
2023-03-20,04:30:00,27972.59,27994.07,27946.91,27982.97
2023-03-20,04:31:00,27980.97,28058.7,27980.46,28045.44
2023-03-20,04:32:00,28048.25,28049.79,28008.18,28014.29
2023-03-20,04:33:00,28016.43,28029.1,27991.66,28015.78
2023-03-20,04:34:00,28017.7,28024.07,27992.26,28013.56
2023-03-20,04:35:00,28011.95,28019.07,27973.23,28011.7
2023-03-20,04:36:00,28011.7,28017.75,27984.17,27987.47
2023-03-20,04:37:00,27987.47,27994.7,27916.24,27925.0
2023-03-20,04:38:00,27925.0,27930.64,27800.0,27835.39
2023-03-20,04:39:00,27840.58,27846.95,27738.0,27788.05
2023-03-20,04:40:00,27788.05,27879.46,27773.74,27875.63
2023-03-20,04:41:00,27875.63,27910.66,27850.0,27884.59
2023-03-20,04:42:00,27886.02,27929.89,27880.79,27910.43
2023-03-20,04:43:00,27907.26,27921.16,27843.0,27881.15
2023-03-20,04:44:00,27883.63,27912.19,27871.86,27884.47
